Date,Abs.,V(m3),Conc.,Aveg.,compound,location,year,month
2/26/2011 0:00,0.017,228,12.00438596,,so2,Kupwad,2011,february
2/26/2011 0:00,0.014,228,9.885964912,,so2,Kupwad,2011,february
2/26/2011 0:00,0.014,228,9.885964912,,so2,Kupwad,2011,february
2/26/2011 0:00,0.016,228,11.29824561,,so2,Kupwad,2011,february
2/3/2011 0:00,0.015,240,10.0625,11.62777778,so2,Rajawada chowk,2011,february
2/3/2011 0:00,0.011,240,7.379166667,,so2,Rajawada chowk,2011,february
2/3/2011 0:00,0.014,240,9.391666667,,so2,Rajawada chowk,2011,february
2/3/2011 0:00,0.012,240,8.05,,so2,Rajawada chowk,2011,february
2/3/2011 0:00,0.029,240,19.45416667,,so2,Rajawada chowk,2011,february
2/3/2011 0:00,0.023,240,15.42916667,,so2,Rajawada chowk,2011,february
2/6/2011 0:00,0.014,240,9.391666667,11.98084795,so2,Rajawada chowk,2011,february
2/6/2011 0:00,0.01,240,6.708333333,,so2,Rajawada chowk,2011,february
2/6/2011 0:00,0.016,228,11.29824561,,so2,Rajawada chowk,2011,february
2/6/2011 0:00,0.017,228,12.00438596,,so2,Rajawada chowk,2011,february
2/6/2011 0:00,0.027,228,19.06578947,,so2,Rajawada chowk,2011,february
2/6/2011 0:00,0.019,228,13.41666667,,so2,Rajawada chowk,2011,february
2/10/2011 0:00,0.016,228,11.29824561,16.09084633,so2,Rajawada chowk,2011,february
2/10/2011 0:00,0.021,228,14.82894737,,so2,Rajawada chowk,2011,february
2/10/2011 0:00,0.029,228,20.47807018,,so2,Rajawada chowk,2011,february
2/10/2011 0:00,0.031,216,23.10648148,,so2,Rajawada chowk,2011,february
2/10/2011 0:00,0.017,216,12.6712963,,so2,Rajawada chowk,2011,february
2/10/2011 0:00,0.019,216,14.16203704,,so2,Rajawada chowk,2011,february
2/13/2011 0:00,0.016,228,11.29824561,12.86352339,so2,Rajawada chowk,2011,february
2/13/2011 0:00,0.016,240,10.73333333,,so2,Rajawada chowk,2011,february
2/13/2011 0:00,0.018,240,12.075,,so2,Rajawada chowk,2011,february
2/13/2011 0:00,0.019,228,13.41666667,,so2,Rajawada chowk,2011,february
2/13/2011 0:00,0.019,228,13.41666667,,so2,Rajawada chowk,2011,february
2/13/2011 0:00,0.023,228,16.24122807,,so2,Rajawada chowk,2011,february
2/17/2011 0:00,0.012,240,8.05,11.69839181,so2,Rajawada chowk,2011,february
2/17/2011 0:00,0.013,228,9.179824561,,so2,Rajawada chowk,2011,february
2/17/2011 0:00,0.023,228,16.24122807,,so2,Rajawada chowk,2011,february
2/17/2011 0:00,0.012,228,8.473684211,,so2,Rajawada chowk,2011,february
2/17/2011 0:00,0.022,228,15.53508772,,so2,Rajawada chowk,2011,february
2/17/2011 0:00,0.018,228,12.71052632,,so2,Rajawada chowk,2011,february
2/24/2011 0:00,0.009,240,6.0375,7.237938596,so2,Rajawada chowk,2011,february
2/24/2011 0:00,0.015,228,10.59210526,,so2,Rajawada chowk,2011,february
2/24/2011 0:00,0.01,228,7.061403509,,so2,Rajawada chowk,2011,february
2/24/2011 0:00,0.011,240,7.379166667,,so2,Rajawada chowk,2011,february
2/24/2011 0:00,0.01,240,6.708333333,,so2,Rajawada chowk,2011,february
2/24/2011 0:00,0.008,228,5.649122807,,so2,Rajawada chowk,2011,february
2/27/2011 0:00,0.01,228,7.061403509,8.403070175,so2,Rajawada chowk,2011,february
2/27/2011 0:00,0.013,240,8.720833333,,so2,Rajawada chowk,2011,february
2/27/2011 0:00,0.014,240,9.391666667,,so2,Rajawada chowk,2011,february
2/27/2011 0:00,0.011,240,7.379166667,,so2,Rajawada chowk,2011,february
2/27/2011 0:00,0.014,240,9.391666667,,so2,Rajawada chowk,2011,february
2/27/2011 0:00,0.012,228,8.473684211,,so2,Rajawada chowk,2011,february
3/4/2011 0:00,0.014,228,9.885964912,8.373647661,so2,Udyoga Bhawan,2011,march
3/4/2011 0:00,0.009,228,6.355263158,,so2,Udyoga Bhawan,2011,march
3/4/2011 0:00,0.011,228,7.76754386,,so2,Udyoga Bhawan,2011,march
3/4/2011 0:00,0.017,240,11.40416667,,so2,Udyoga Bhawan,2011,march
3/4/2011 0:00,0.01,228,7.061403509,,so2,Udyoga Bhawan,2011,march
3/4/2011 0:00,0.011,228,7.76754386,,so2,Udyoga Bhawan,2011,march
3/7/2011 0:00,0.025,228,17.65350877,8.473684211,so2,Udyoga Bhawan,2011,march
3/7/2011 0:00,0.011,228,7.76754386,,so2,Udyoga Bhawan,2011,march
3/7/2011 0:00,0.012,228,8.473684211,,so2,Udyoga Bhawan,2011,march
3/7/2011 0:00,0.006,228,4.236842105,,so2,Udyoga Bhawan,2011,march
3/7/2011 0:00,0.008,228,5.649122807,,so2,Udyoga Bhawan,2011,march
3/7/2011 0:00,0.01,228,7.061403509,,so2,Udyoga Bhawan,2011,march
3/11/2011 0:00,0.015,228,10.59210526,10.82748538,so2,Udyoga Bhawan,2011,march
3/11/2011 0:00,0.021,228,14.82894737,,so2,Udyoga Bhawan,2011,march
3/11/2011 0:00,0.012,228,8.473684211,,so2,Udyoga Bhawan,2011,march
3/11/2011 0:00,0.014,228,9.885964912,,so2,Udyoga Bhawan,2011,march
3/11/2011 0:00,0.013,228,9.179824561,,so2,Udyoga Bhawan,2011,march
3/11/2011 0:00,0.017,228,12.00438596,,so2,Udyoga Bhawan,2011,march
3/18/2011 0:00,0.009,228,6.355263158,7.838157895,so2,Udyoga Bhawan,2011,march
3/18/2011 0:00,0.008,240,5.366666667,,so2,Udyoga Bhawan,2011,march
3/18/2011 0:00,0.016,228,11.29824561,,so2,Udyoga Bhawan,2011,march
3/18/2011 0:00,0.009,228,6.355263158,,so2,Udyoga Bhawan,2011,march
3/18/2011 0:00,0.014,228,9.885964912,,so2,Udyoga Bhawan,2011,march
3/18/2011 0:00,0.011,228,7.76754386,,so2,Udyoga Bhawan,2011,march
3/21/2011 0:00,0.019,228,13.41666667,13.64027778,so2,Udyoga Bhawan,2011,march
3/21/2011 0:00,0.015,228,10.59210526,,so2,Udyoga Bhawan,2011,march
3/21/2011 0:00,0.018,228,12.71052632,,so2,Udyoga Bhawan,2011,march
3/21/2011 0:00,0.025,228,17.65350877,,so2,Udyoga Bhawan,2011,march
3/21/2011 0:00,0.018,228,12.71052632,,so2,Udyoga Bhawan,2011,march
3/21/2011 0:00,0.022,240,14.75833333,,so2,Udyoga Bhawan,2011,march
3/25/2011 0:00,0.029,240,19.45416667,17.58158707,so2,Udyoga Bhawan,2011,march
3/25/2011 0:00,0.018,228,12.71052632,,so2,Udyoga Bhawan,2011,march
3/25/2011 0:00,0.023,240,15.42916667,,so2,Udyoga Bhawan,2011,march
3/25/2011 0:00,0.025,216,18.63425926,,so2,Udyoga Bhawan,2011,march
3/25/2011 0:00,0.029,228,20.47807018,,so2,Udyoga Bhawan,2011,march
3/25/2011 0:00,0.028,240,18.78333333,,so2,Udyoga Bhawan,2011,march
3/28/2011 0:00,0.022,228,15.53508772,10.99225146,so2,Udyoga Bhawan,2011,march
3/28/2011 0:00,0.018,228,12.71052632,,so2,Udyoga Bhawan,2011,march
3/28/2011 0:00,0.017,228,12.00438596,,so2,Udyoga Bhawan,2011,march
3/28/2011 0:00,0.015,228,10.59210526,,so2,Udyoga Bhawan,2011,march
3/28/2011 0:00,0.012,240,8.05,,so2,Udyoga Bhawan,2011,march
3/28/2011 0:00,0.01,228,7.061403509,,so2,Udyoga Bhawan,2011,march
3/2/2011 0:00,0.009,228,6.355263158,9.062134503,so2,Kupwad,2011,march
3/2/2011 0:00,0.011,228,7.76754386,,so2,Kupwad,2011,march
3/2/2011 0:00,0.013,228,9.179824561,,so2,Kupwad,2011,march
3/2/2011 0:00,0.016,228,11.29824561,,so2,Kupwad,2011,march
3/2/2011 0:00,0.015,228,10.59210526,,so2,Kupwad,2011,march
3/2/2011 0:00,0.013,228,9.179824561,,so2,Kupwad,2011,march
3/5/2011 0:00,0.012,228,8.473684211,10.12134503,so2,Kupwad,2011,march
3/5/2011 0:00,0.017,228,12.00438596,,so2,Kupwad,2011,march
3/5/2011 0:00,0.013,228,9.179824561,,so2,Kupwad,2011,march
